quarter,revenue,year,company_code
Q2,12.46,2015,DIS
Q3,13.1,2015,DIS
Q4,13.51,2015,DIS
Q1,15.24,2016,DIS
Q2,12.97,2016,DIS
Q3,14.28,2016,DIS
Q4,13.14,2016,DIS
Q1,14.78,2017,DIS
Q2,13.34,2017,DIS
Q3,14.24,2017,DIS
Q4,12.78,2017,DIS
Q1,15.35,2018,DIS
Q2,14.55,2018,DIS
Q3,15.23,2018,DIS
Q4,14.31,2018,DIS
Q1,3.06,2020,DISH
Q1,3.2,2020,DISH
Q1,3.58,2020,DISH
Q1,3.38,2020,DISH
Q1,3.59,2020,DISH
Q1,3.72,2020,DISH
Q1,3.83,2020,DISH
Q1,3.68,2020,DISH
Q1,3.46,2020,DISH
Q2,3.17,2020,DISH
Q2,3.59,2020,DISH
Q2,3.57,2020,DISH
Q2,3.49,2020,DISH
Q2,3.69,2020,DISH
Q2,3.83,2020,DISH
Q2,3.84,2020,DISH
Q2,3.64,2020,DISH
Q2,3.46,2020,DISH
Q3,3.21,2020,DISH
Q3,3.6,2020,DISH
Q3,3.52,2020,DISH
Q3,3.51,2020,DISH
Q3,3.65,2020,DISH
Q3,3.73,2020,DISH
Q3,3.75,2020,DISH
Q3,3.58,2020,DISH
Q3,3.4,2020,DISH
Q4,3.21,2020,DISH
Q4,3.63,2020,DISH
Q4,3.59,2020,DISH
Q4,3.54,2020,DISH
Q4,3.68,2020,DISH
Q4,3.78,2020,DISH
Q4,3.72,2020,DISH
Q4,3.48,2020,DISH
Q2,-0.39,2010,EA
Q3,-0.08,2010,EA
Q4,0.03,2010,EA
Q1,0.1,2011,EA
Q2,-0.2,2011,EA
Q3,-0.32,2011,EA
Q4,0.15,2011,EA
Q1,0.22,2012,EA
Q2,-0.34,2012,EA
Q3,-0.2,2012,EA
Q4,0.4,2012,EA
Q1,0.2,2013,EA
Q2,-0.38,2013,EA
Q3,-0.04,2013,EA
Q4,0.32,2013,EA
Q1,0.22,2014,EA
Q2,-0.27,2014,EA
Q3,-0.31,2014,EA
Q4,0.37,2014,EA
Q1,0.34,2015,EA
Q2,0,2015,EA
Q3,0.14,2015,EA
Q4,0.4,2015,EA
Q1,0.44,2016,EA
Q2,-0.14,2016,EA
Q3,-0.04,2016,EA
Q4,0.9,2016,EA
Q1,0.44,2017,EA
Q2,-0.04,2017,EA
Q3,0,2017,EA
Q4,0.57,2017,EA
Q1,0.64,2018,EA
Q2,-0.02,2018,EA
Q3,-0.19,2018,EA
Q4,0.61,2018,EA
Q1,0.29,2019,EA
Q2,0.26,2019,EA
Q1,2.15,2014,EBAY
Q2,2.17,2014,EBAY
Q3,2.15,2014,EBAY
Q4,2.32,2014,EBAY
Q1,2.06,2015,EBAY
Q2,2.11,2015,EBAY
Q3,2.1,2015,EBAY
Q4,2.32,2015,EBAY
Q1,2.14,2016,EBAY
Q2,2.31,2016,EBAY
Q3,2.3,2016,EBAY
Q4,2.47,2016,EBAY
Q1,2.3,2017,EBAY
Q2,2.42,2017,EBAY
Q3,2.5,2017,EBAY
Q4,2.71,2017,EBAY
Q1,2.58,2018,EBAY
Q2,2.64,2018,EBAY
Q3,2.65,2018,EBAY
Q1,1.06,2012,FB
Q2,1.18,2012,FB
Q3,1.26,2012,FB
Q4,1.58,2012,FB
Q1,1.46,2013,FB
Q2,1.81,2013,FB
Q3,2.02,2013,FB
Q4,2.58,2013,FB
Q1,2.5,2014,FB
Q2,2.91,2014,FB
Q3,3.2,2014,FB
Q4,3.85,2014,FB
Q1,3.54,2015,FB
Q2,4.04,2015,FB
Q3,4.5,2015,FB
Q4,5.84,2015,FB
Q1,5.38,2016,FB
Q2,6.44,2016,FB
Q3,7.01,2016,FB
Q4,8.81,2016,FB
Q1,8.03,2017,FB
Q2,9.32,2017,FB
Q3,10.33,2017,FB
Q4,12.97,2017,FB
Q1,11.97,2018,FB
Q2,13.23,2018,FB
Q3,13.73,2018,FB
Q4,16.91,2018,FB
Q1,15.08,2019,FB
Q2,16.89,2019,FB
Q3,17.65,2019,FB
Q4,21.08,2019,FB
Q1,17.74,2020,FB
Q2,18.69,2020,FB
Q3,21.47,2020,FB
Q4,28.07,2020,FB
Q2,15.96,2014,GOOGL
Q3,16.52,2014,GOOGL
Q4,18.1,2014,GOOGL
Q1,17.26,2015,GOOGL
Q2,17.73,2015,GOOGL
Q3,18.68,2015,GOOGL
Q4,21.33,2015,GOOGL
Q1,20.26,2016,GOOGL
Q2,21.5,2016,GOOGL
Q3,22.45,2016,GOOGL
Q4,26.06,2016,GOOGL
Q1,24.75,2017,GOOGL
Q2,26.01,2017,GOOGL
Q3,27.77,2017,GOOGL
Q4,32.32,2017,GOOGL
Q1,31.15,2018,GOOGL
Q2,32.66,2018,GOOGL
Q3,33.74,2018,GOOGL
Q4,39.28,2018,GOOGL
Q1,36.34,2019,GOOGL
Q2,38.94,2019,GOOGL
Q3,40.5,2019,GOOGL
Q4,46.08,2019,GOOGL
Q1,41.16,2020,GOOGL
Q2,38.3,2020,GOOGL
Q3,46.17,2020,GOOGL
Q4,56.9,2020,GOOGL
Q1,13.05,2015,HPE
Q2,12.55,2015,HPE
Q3,13.06,2015,HPE
Q4,13.45,2015,HPE
Q1,12.72,2016,HPE
Q2,12.71,2016,HPE
Q3,12.21,2016,HPE
Q4,12.48,2016,HPE
Q1,6.9,2017,HPE
Q2,7.45,2017,HPE
Q3,7.5,2017,HPE
Q4,7.66,2017,HPE
Q1,7.67,2018,HPE
Q2,7.47,2018,HPE
Q3,7.76,2018,HPE
Q1,9.7,2008,INTC
Q2,9.5,2008,INTC
Q3,10.2,2008,INTC
Q4,8.2,2008,INTC
Q1,7.1,2009,INTC
Q2,8,2009,INTC
Q3,9.4,2009,INTC
Q4,10.6,2009,INTC
Q1,10.3,2010,INTC
Q2,10.8,2010,INTC
Q3,11.1,2010,INTC
Q4,11.46,2010,INTC
Q1,12.8,2011,INTC
Q2,13.02,2011,INTC
Q3,14.23,2011,INTC
Q4,13.89,2011,INTC
Q1,12.91,2012,INTC
Q2,13.5,2012,INTC
Q3,13.46,2012,INTC
Q4,13.48,2012,INTC
Q1,12.58,2013,INTC
Q2,12.81,2013,INTC
Q3,13.47,2013,INTC
Q4,13.83,2013,INTC
Q1,12.76,2014,INTC
Q2,13.83,2014,INTC
Q3,14.6,2014,INTC
Q4,14.72,2014,INTC
Q1,12.78,2015,INTC
Q2,13.2,2015,INTC
Q3,14.47,2015,INTC
Q4,14.91,2015,INTC
Q1,13.7,2016,INTC
Q2,13.53,2016,INTC
Q3,15.78,2016,INTC
Q4,16.4,2016,INTC
Q1,14.8,2017,INTC
Q2,14.76,2017,INTC
Q3,16.1,2017,INTC
Q4,17.1,2017,INTC
Q1,16.1,2018,INTC
Q2,17,2018,INTC
Q1,13.76,2008,MSFT
Q2,16.37,2008,MSFT
Q3,14.45,2008,MSFT
Q4,15.84,2008,MSFT
Q1,15.06,2009,MSFT
Q2,16.63,2009,MSFT
Q3,13.65,2009,MSFT
Q4,13.1,2009,MSFT
Q1,12.92,2010,MSFT
Q2,19.02,2010,MSFT
Q3,14.5,2010,MSFT
Q4,16.04,2010,MSFT
Q1,16.2,2011,MSFT
Q2,19.95,2011,MSFT
Q3,16.43,2011,MSFT
Q4,17.37,2011,MSFT
Q1,17.37,2012,MSFT
Q2,20.89,2012,MSFT
Q3,17.41,2012,MSFT
Q4,18.06,2012,MSFT
Q1,16.01,2013,MSFT
Q2,21.46,2013,MSFT
Q3,20.49,2013,MSFT
Q4,19.9,2013,MSFT
Q1,18.53,2014,MSFT
Q2,24.52,2014,MSFT
Q3,20.4,2014,MSFT
Q4,23.38,2014,MSFT
Q1,23.2,2015,MSFT
Q2,26.47,2015,MSFT
Q3,21.73,2015,MSFT
Q4,22.18,2015,MSFT
Q1,20.38,2016,MSFT
Q2,23.8,2016,MSFT
Q3,20.53,2016,MSFT
Q4,20.61,2016,MSFT
Q1,21.93,2017,MSFT
Q2,24.1,2017,MSFT
Q3,22.1,2017,MSFT
Q4,23.3,2017,MSFT
Q1,24.54,2018,MSFT
Q2,28.92,2018,MSFT
Q3,26.82,2018,MSFT
Q4,30.08,2018,MSFT
Q1,29.08,2019,MSFT
Q1,0.72,2020,NFLX
Q1,0.87,2020,NFLX
Q1,1.02,2020,NFLX
Q1,1.27,2020,NFLX
Q1,1.57,2020,NFLX
Q1,1.96,2020,NFLX
Q1,2.64,2020,NFLX
Q1,3.7,2020,NFLX
Q2,0.79,2020,NFLX
Q2,0.89,2020,NFLX
Q2,1.07,2020,NFLX
Q2,1.34,2020,NFLX
Q2,1.64,2020,NFLX
Q2,2.11,2020,NFLX
Q2,2.79,2020,NFLX
Q2,3.91,2020,NFLX
Q3,0.82,2020,NFLX
Q3,0.91,2020,NFLX
Q3,1.11,2020,NFLX
Q3,1.41,2020,NFLX
Q3,1.74,2020,NFLX
Q3,2.29,2020,NFLX
Q3,2.98,2020,NFLX
Q3,4,2020,NFLX
Q4,0.88,2020,NFLX
Q4,0.95,2020,NFLX
Q4,1.18,2020,NFLX
Q4,1.48,2020,NFLX
Q4,1.82,2020,NFLX
Q4,2.48,2020,NFLX
Q4,3.29,2020,NFLX
Q1,3.59,2007,ORCL
Q2,4.16,2007,ORCL
Q3,4.41,2007,ORCL
Q4,5.83,2007,ORCL
Q1,4.53,2008,ORCL
Q2,5.31,2008,ORCL
Q3,5.35,2008,ORCL
Q4,7.24,2008,ORCL
Q1,5.33,2009,ORCL
Q2,5.61,2009,ORCL
Q3,5.45,2009,ORCL
Q4,6.86,2009,ORCL
Q1,5.05,2010,ORCL
Q2,5.86,2010,ORCL
Q3,6.4,2010,ORCL
Q4,9.51,2010,ORCL
Q1,7.5,2011,ORCL
Q2,8.58,2011,ORCL
Q3,8.76,2011,ORCL
Q4,10.78,2011,ORCL
Q1,8.37,2012,ORCL
Q2,8.79,2012,ORCL
Q3,9.04,2012,ORCL
Q4,10.92,2012,ORCL
Q1,8.18,2013,ORCL
Q2,9.09,2013,ORCL
Q3,8.96,2013,ORCL
Q4,10.95,2013,ORCL
Q1,8.37,2014,ORCL
Q2,9.28,2014,ORCL
Q3,9.31,2014,ORCL
Q4,11.32,2014,ORCL
Q1,8.6,2015,ORCL
Q2,9.6,2015,ORCL
Q3,9.33,2015,ORCL
Q4,10.71,2015,ORCL
Q1,8.45,2016,ORCL
Q2,8.99,2016,ORCL
Q3,9.01,2016,ORCL
Q4,10.59,2016,ORCL
Q1,8.6,2017,ORCL
Q2,9.04,2017,ORCL
Q3,9.2,2017,ORCL
Q4,10.89,2017,ORCL
Q1,9.19,2018,ORCL
Q2,9.62,2018,ORCL
Q3,9.77,2018,ORCL
Q4,11.25,2018,ORCL
Q1,9.19,2019,ORCL
Q1,11.94,2011,PEP
Q2,16.83,2011,PEP
Q3,17.58,2011,PEP
Q4,20.16,2011,PEP
Q1,12.43,2012,PEP
Q2,16.46,2012,PEP
Q3,16.65,2012,PEP
Q4,19.95,2012,PEP
Q1,12.58,2013,PEP
Q2,16.81,2013,PEP
Q3,16.91,2013,PEP
Q4,20.12,2013,PEP
Q1,12.62,2014,PEP
Q2,16.89,2014,PEP
Q3,17.22,2014,PEP
Q4,19.95,2014,PEP
Q1,12.22,2015,PEP
Q2,15.92,2015,PEP
Q3,16.33,2015,PEP
Q4,18.59,2015,PEP
Q1,11.86,2016,PEP
Q2,15.39,2016,PEP
Q3,16.03,2016,PEP
Q4,19.52,2016,PEP
Q1,12.05,2017,PEP
Q2,15.71,2017,PEP
Q3,16.24,2017,PEP
Q4,19.53,2017,PEP
Q1,0.81,2010,PYPL
Q2,0.82,2010,PYPL
Q3,0.84,2010,PYPL
Q4,0.97,2010,PYPL
Q1,0.99,2011,PYPL
Q2,1.07,2011,PYPL
Q3,1.11,2011,PYPL
Q4,1.24,2011,PYPL
Q1,1.31,2012,PYPL
Q2,1.36,2012,PYPL
Q3,1.37,2012,PYPL
Q4,1.54,2012,PYPL
Q1,1.55,2013,PYPL
Q2,1.62,2013,PYPL
Q3,1.62,2013,PYPL
Q4,1.84,2013,PYPL
Q1,1.87,2014,PYPL
Q2,1.98,2014,PYPL
Q3,1.98,2014,PYPL
Q4,2.19,2014,PYPL
Q1,2.14,2015,PYPL
Q2,2.3,2015,PYPL
Q3,2.26,2015,PYPL
Q4,2.56,2015,PYPL
Q1,2.54,2016,PYPL
Q2,2.65,2016,PYPL
Q3,2.67,2016,PYPL
Q4,2.98,2016,PYPL
Q1,2.98,2017,PYPL
Q2,3.14,2017,PYPL
Q3,3.24,2017,PYPL
Q4,3.74,2017,PYPL
Q1,3.68,2018,PYPL
Q2,3.86,2018,PYPL
Q3,3.68,2018,PYPL
Q1,3.79,2015,STX
Q2,3.7,2015,STX
Q3,3.33,2015,STX
Q4,2.93,2015,STX
Q1,2.92,2016,STX
Q2,2.99,2016,STX
Q3,2.6,2016,STX
Q4,2.65,2016,STX
Q1,2.8,2017,STX
Q2,2.89,2017,STX
Q3,2.67,2017,STX
Q4,2.41,2017,STX
Q1,2.63,2018,STX
Q2,2.91,2018,STX
Q3,2.8,2018,STX
Q4,2.84,2018,STX
Q1,0.02,2011,TWTR
Q2,0.02,2011,TWTR
Q3,0.03,2011,TWTR
Q4,0.04,2011,TWTR
Q1,0.05,2012,TWTR
Q2,0.07,2012,TWTR
Q3,0.08,2012,TWTR
Q4,0.11,2012,TWTR
Q1,0.11,2013,TWTR
Q2,0.14,2013,TWTR
Q3,0.17,2013,TWTR
Q4,0.24,2013,TWTR
Q1,0.25,2014,TWTR
Q2,0.31,2014,TWTR
Q3,0.36,2014,TWTR
Q4,0.48,2014,TWTR
Q1,0.44,2015,TWTR
Q2,0.5,2015,TWTR
Q3,0.57,2015,TWTR
Q4,0.71,2015,TWTR
Q1,0.59,2016,TWTR
Q2,0.6,2016,TWTR
Q3,0.62,2016,TWTR
Q4,0.72,2016,TWTR
Q1,0.55,2017,TWTR
Q2,0.57,2017,TWTR
Q3,0.59,2017,TWTR
Q4,0.73,2017,TWTR
Q1,0.66,2018,TWTR
Q2,0.71,2018,TWTR
Q3,0.76,2018,TWTR
Q1,4.02,2010,VIAB
Q2,2.73,2010,VIAB
Q3,3.28,2010,VIAB
Q4,3.33,2010,VIAB
Q1,3.83,2011,VIAB
Q2,3.27,2011,VIAB
Q3,3.77,2011,VIAB
Q4,4.05,2011,VIAB
Q1,3.95,2012,VIAB
Q2,3.33,2012,VIAB
Q3,3.24,2012,VIAB
Q4,3.36,2012,VIAB
Q1,3.31,2013,VIAB
Q2,3.14,2013,VIAB
Q3,3.69,2013,VIAB
Q4,3.65,2013,VIAB
Q1,3.2,2014,VIAB
Q2,3.17,2014,VIAB
Q3,3.42,2014,VIAB
Q4,3.99,2014,VIAB
Q1,3.34,2015,VIAB
Q2,3.08,2015,VIAB
Q3,3.06,2015,VIAB
Q4,3.79,2015,VIAB
Q1,3.15,2016,VIAB
Q2,3,2016,VIAB
Q3,3.11,2016,VIAB
Q4,3.23,2016,VIAB
Q1,3.32,2017,VIAB
Q2,3.26,2017,VIAB
Q3,3.36,2017,VIAB
Q4,3.32,2017,VIAB
Q1,3.07,2018,VIAB
Q2,3.15,2018,VIAB
Q3,3.24,2018,VIAB
